,gt_covid_symptoms,gt_loss_of_smell,gt_loss_of_taste,gt_fever,gt_cough,gt_pcr_test,gt_pcr_take,gt_antigen_test,gt_hospitalization,gt_hospital,gt_vaccine,gt_vaccination,gt_self_isolation,gt_lockdown,gt_qr_code
2021-05-06,5.215419501133787,0.0,0.0,0.0,0.0,10.430839002267573,5.215419501133787,0.0,0.0,0.0,0.0,0.0,0.0,2.040816326530612,5.215419501133787
2021-05-07,5.328798185941043,0.0,0.0,0.0,0.0,10.657596371882086,5.328798185941043,0.0,0.0,0.0,0.0,0.0,0.0,1.3605442176870746,5.328798185941043
2021-05-08,5.442176870748299,0.0,0.0,0.0,0.0,10.884353741496598,5.442176870748299,0.0,0.0,0.0,0.0,0.0,0.0,0.6802721088435373,5.442176870748299
2021-05-09,5.555555555555555,0.0,0.0,0.0,0.0,11.11111111111111,5.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.555555555555555
2021-05-10,5.513784461152882,0.0,0.0,0.0,0.0,11.027568922305765,5.513784461152882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.513784461152882
2021-05-11,5.472013366750208,0.0,0.0,0.0,0.0,10.944026733500417,5.472013366750208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.472013366750208
2021-05-12,5.430242272347535,0.0,0.0,0.0,0.0,10.86048454469507,5.430242272347535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.430242272347535
2021-05-13,5.3884711779448615,0.0,0.0,0.0,0.0,10.776942355889723,5.3884711779448615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3884711779448615
2021-05-14,5.3467000835421885,0.0,0.0,0.0,0.0,10.693400167084377,5.3467000835421885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3467000835421885
2021-05-15,5.304928989139515,0.0,0.0,0.0,0.0,10.60985797827903,5.304928989139515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.304928989139515
2021-05-16,5.263157894736842,0.0,0.0,0.0,0.0,10.526315789473683,5.263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.263157894736842
2021-05-17,5.404135338345864,0.0,0.0,0.0,0.0,11.701127819548871,5.404135338345864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.404135338345864
2021-05-18,5.545112781954887,0.0,0.0,0.0,0.0,12.875939849624059,5.545112781954887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.545112781954887
2021-05-19,5.68609022556391,0.0,0.0,0.0,0.0,14.050751879699249,5.68609022556391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.68609022556391
2021-05-20,5.827067669172932,0.0,0.0,0.0,0.0,15.225563909774436,5.827067669172932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.827067669172932
2021-05-21,5.9680451127819545,0.0,0.0,0.0,0.0,16.400375939849624,5.9680451127819545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9680451127819545
2021-05-22,6.109022556390977,0.0,0.0,0.0,0.0,17.575187969924812,6.109022556390977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.109022556390977
2021-05-23,6.25,0.0,0.0,0.0,0.0,18.75,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25
2021-05-24,6.150793650793651,0.0,0.0,0.0,0.0,18.452380952380953,6.150793650793651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.150793650793651
2021-05-25,6.051587301587301,0.0,0.0,0.0,0.0,18.154761904761905,6.051587301587301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.051587301587301
2021-05-26,5.9523809523809526,0.0,0.0,0.0,0.0,17.857142857142858,5.9523809523809526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9523809523809526
2021-05-27,5.853174603174603,0.0,0.0,0.0,0.0,17.559523809523807,5.853174603174603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.853174603174603
2021-05-28,5.753968253968254,0.0,0.0,0.0,0.0,17.26190476190476,5.753968253968254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.753968253968254
2021-05-29,5.654761904761904,0.0,0.0,0.0,0.0,16.96428571428571,5.654761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.654761904761904
2021-05-30,5.555555555555555,0.0,0.0,0.0,0.0,16.666666666666664,5.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.555555555555555
2021-05-31,5.333333333333333,0.0,0.0,0.0,0.0,16.57142857142857,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.333333333333333
2021-06-01,5.111111111111111,0.0,0.0,0.0,0.0,16.476190476190474,5.111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.111111111111111
2021-06-02,4.888888888888889,0.0,0.0,0.0,0.0,16.38095238095238,4.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.888888888888889
2021-06-03,4.666666666666667,0.0,0.0,0.0,0.0,16.285714285714285,4.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667
2021-06-04,4.444444444444445,0.0,0.0,0.0,0.0,16.19047619047619,4.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.444444444444445
2021-06-05,4.222222222222222,0.0,0.0,0.0,0.0,16.095238095238095,4.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.222222222222222
2021-06-06,4.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2021-06-07,4.049689440993789,0.0,0.0,0.0,0.0,15.267080745341614,3.739130434782609,0.0,0.0,0.0,0.0,0.3105590062111801,0.0,0.6211180124223602,3.739130434782609
2021-06-08,4.099378881987578,0.0,0.0,0.0,0.0,14.53416149068323,3.4782608695652173,0.0,0.0,0.0,0.0,0.6211180124223602,0.0,1.2422360248447204,3.4782608695652173
2021-06-09,4.149068322981367,0.0,0.0,0.0,0.0,13.801242236024844,3.217391304347826,0.0,0.0,0.0,0.0,0.9316770186335404,0.0,1.8633540372670807,3.217391304347826
2021-06-10,4.198757763975155,0.0,0.0,0.0,0.0,13.06832298136646,2.9565217391304346,0.0,0.0,0.0,0.0,1.2422360248447204,0.0,2.484472049689441,2.9565217391304346
2021-06-11,4.248447204968944,0.0,0.0,0.0,0.0,12.335403726708075,2.6956521739130435,0.0,0.0,0.0,0.0,1.5527950310559007,0.0,3.1055900621118013,2.6956521739130435
2021-06-12,4.298136645962733,0.0,0.0,0.0,0.0,11.602484472049689,2.4347826086956523,0.0,0.0,0.0,0.0,1.8633540372670807,0.0,3.7267080745341614,2.4347826086956523
2021-06-13,4.3478260869565215,0.0,0.0,0.0,0.0,10.869565217391305,2.1739130434782608,0.0,0.0,0.0,0.0,2.1739130434782608,0.0,4.3478260869565215,2.1739130434782608
2021-06-14,4.298136645962733,0.0,0.0,0.0,0.0,13.03105590062112,2.434782608695652,0.0,0.0,0.0,0.0,2.720496894409938,0.0,4.583850931677018,3.5776397515527947
2021-06-15,4.248447204968944,0.0,0.0,0.0,0.0,15.192546583850932,2.6956521739130435,0.0,0.0,0.0,0.0,3.267080745341615,0.0,4.819875776397516,4.9813664596273295
2021-06-16,4.198757763975155,0.0,0.0,0.0,0.0,17.354037267080745,2.9565217391304346,0.0,0.0,0.0,0.0,3.813664596273292,0.0,5.055900621118012,6.385093167701863
2021-06-17,4.149068322981367,0.0,0.0,0.0,0.0,19.51552795031056,3.217391304347826,0.0,0.0,0.0,0.0,4.3602484472049685,0.0,5.291925465838509,7.788819875776397
2021-06-18,4.099378881987578,0.0,0.0,0.0,0.0,21.67701863354037,3.4782608695652173,0.0,0.0,0.0,0.0,4.906832298136646,0.0,5.527950310559007,9.19254658385093
2021-06-19,4.049689440993789,0.0,0.0,0.0,0.0,23.838509316770185,3.7391304347826084,0.0,0.0,0.0,0.0,5.453416149068323,0.0,5.763975155279503,10.596273291925467
2021-06-20,4.0,0.0,0.0,0.0,0.0,26.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,12.0
2021-06-21,4.023809523809524,0.0,0.0,0.0,0.0,27.345238095238095,4.321428571428571,0.0,0.0,0.0,0.0,5.738095238095238,0.0,6.035714285714286,13.857142857142858
2021-06-22,4.0476190476190474,0.0,0.0,0.0,0.0,28.69047619047619,4.642857142857142,0.0,0.0,0.0,0.0,5.476190476190476,0.0,6.071428571428571,15.714285714285715
2021-06-23,4.071428571428571,0.0,0.0,0.0,0.0,30.03571428571429,4.964285714285714,0.0,0.0,0.0,0.0,5.214285714285714,0.0,6.107142857142857,17.571428571428573
2021-06-24,4.095238095238095,0.0,0.0,0.0,0.0,31.380952380952383,5.285714285714286,0.0,0.0,0.0,0.0,4.9523809523809526,0.0,6.142857142857143,19.42857142857143
2021-06-25,4.119047619047619,0.0,0.0,0.0,0.0,32.72619047619048,5.607142857142857,0.0,0.0,0.0,0.0,4.69047619047619,0.0,6.178571428571429,21.285714285714285
2021-06-26,4.142857142857142,0.0,0.0,0.0,0.0,34.07142857142858,5.928571428571429,0.0,0.0,0.0,0.0,4.428571428571428,0.0,6.214285714285714,23.142857142857146
2021-06-27,4.166666666666666,0.0,0.0,0.0,0.0,35.41666666666667,6.25,0.0,0.0,0.0,0.0,4.166666666666666,0.0,6.25,25.0
2021-06-28,4.235880398671096,0.0,0.0,0.0,0.0,35.00830564784054,6.0215946843853825,0.0,0.0,0.0,0.0,3.9036544850498336,0.0,6.0215946843853825,23.754152823920265
2021-06-29,4.305094130675526,0.0,0.0,0.0,0.0,34.5999446290144,5.793189368770764,0.0,0.0,0.0,0.0,3.6406423034330007,0.0,5.793189368770764,22.50830564784053
2021-06-30,4.374307862679956,0.0,0.0,0.0,0.0,34.19158361018827,5.5647840531561465,0.0,0.0,0.0,0.0,3.377630121816168,0.0,5.5647840531561465,21.262458471760798
2021-07-01,4.443521594684385,0.0,0.0,0.0,0.0,33.783222591362126,5.336378737541528,0.0,0.0,0.0,0.0,3.1146179401993352,0.0,5.336378737541528,20.016611295681063
2021-07-02,4.512735326688815,0.0,0.0,0.0,0.0,33.37486157253599,5.107973421926911,0.0,0.0,0.0,0.0,2.8516057585825028,0.0,5.107973421926911,18.770764119601328
2021-07-03,4.581949058693245,0.0,0.0,0.0,0.0,32.96650055370986,4.879568106312292,0.0,0.0,0.0,0.0,2.5885935769656703,0.0,4.879568106312292,17.524916943521596
2021-07-04,4.651162790697675,0.0,0.0,0.0,0.0,32.55813953488372,4.651162790697675,0.0,0.0,0.0,0.0,2.3255813953488373,0.0,4.651162790697675,16.27906976744186
2021-07-05,4.372811349555536,0.0,0.0,0.0,0.0,32.54018137739068,4.758911735655922,0.0,0.0,0.0,0.0,2.379455867827961,0.0,4.372811349555536,16.656191074795725
2021-07-06,4.094459908413397,0.0,0.0,0.0,0.0,32.52222321989764,4.866660680614169,0.0,0.0,0.0,0.0,2.4333303403070845,0.0,4.094459908413397,17.033312382149592
2021-07-07,3.816108467271258,0.0,0.0,0.0,0.0,32.5042650624046,4.974409625572417,0.0,0.0,0.0,0.0,2.4872048127862083,0.0,3.816108467271258,17.410433689503456
2021-07-08,3.5377570261291194,0.0,0.0,0.0,0.0,32.48630690491156,5.082158570530663,0.0,0.0,0.0,0.0,2.5410792852653317,0.0,3.5377570261291194,17.787554996857324
2021-07-09,3.2594055849869803,0.0,0.0,0.0,0.0,32.46834874741852,5.189907515488911,0.0,0.0,0.0,0.0,2.5949537577444555,0.0,3.2594055849869803,18.164676304211188
2021-07-10,2.9810541438448412,0.0,0.0,0.0,0.0,32.450390589925476,5.297656460447158,0.0,0.0,0.0,0.0,2.648828230223579,0.0,2.9810541438448412,18.541797611565052
2021-07-11,2.7027027027027026,0.0,0.0,0.0,0.0,32.432432432432435,5.405405405405405,0.0,0.0,0.0,0.0,2.7027027027027026,0.0,2.7027027027027026,18.91891891891892
2021-07-12,3.2382613027774316,0.0,0.0,0.0,0.0,31.946693237015822,5.5548636193797485,0.0,0.0,0.0,0.0,2.7774318096898742,0.0,2.7774318096898742,18.059534188566445
2021-07-13,3.7738199028521606,0.0,0.0,0.0,0.0,31.460954041599205,5.704321833354091,0.0,0.0,0.0,0.0,2.8521609166770454,0.0,2.8521609166770454,17.200149458213975
2021-07-14,4.30937850292689,0.0,0.0,0.0,0.0,30.975214846182592,5.853780047328434,0.0,0.0,0.0,0.0,2.926890023664217,0.0,2.926890023664217,16.3407647278615
2021-07-15,4.8449371030016195,0.0,0.0,0.0,0.0,30.489475650765975,6.003238261302777,0.0,0.0,0.0,0.0,3.0016191306513886,0.0,3.0016191306513886,15.48137999750903
2021-07-16,5.380495703076348,0.0,0.0,0.0,0.0,30.00373645534936,6.1526964752771205,0.0,0.0,0.0,0.0,3.0763482376385602,0.0,3.0763482376385602,14.621995267156557
2021-07-17,5.916054303151077,0.0,0.0,0.0,0.0,29.51799725993275,6.302154689251463,0.0,0.0,0.0,0.0,3.1510773446257314,0.0,3.1510773446257314,13.762610536804086
2021-07-18,6.451612903225806,0.0,0.0,0.0,0.0,29.03225806451613,6.451612903225806,0.0,0.0,0.0,0.0,3.225806451612903,0.0,3.225806451612903,12.903225806451612
2021-07-19,5.990783410138248,0.0,0.0,0.0,0.0,28.571428571428573,6.451612903225806,0.0,0.0,0.0,0.0,3.225806451612903,0.0,2.7649769585253456,12.442396313364055
2021-07-20,5.529953917050691,0.0,0.0,0.0,0.0,28.110599078341014,6.451612903225806,0.0,0.0,0.0,0.0,3.225806451612903,0.0,2.304147465437788,11.981566820276496
2021-07-21,5.0691244239631335,0.0,0.0,0.0,0.0,27.649769585253456,6.451612903225806,0.0,0.0,0.0,0.0,3.225806451612903,0.0,1.8433179723502304,11.52073732718894
2021-07-22,4.608294930875576,0.0,0.0,0.0,0.0,27.1889400921659,6.451612903225806,0.0,0.0,0.0,0.0,3.225806451612903,0.0,1.3824884792626728,11.059907834101383
2021-07-23,4.147465437788018,0.0,0.0,0.0,0.0,26.72811059907834,6.451612903225806,0.0,0.0,0.0,0.0,3.225806451612903,0.0,0.9216589861751152,10.599078341013826
2021-07-24,3.686635944700461,0.0,0.0,0.0,0.0,26.267281105990783,6.451612903225806,0.0,0.0,0.0,0.0,3.225806451612903,0.0,0.46082949308755783,10.138248847926267
2021-07-25,3.225806451612903,0.0,0.0,0.0,0.0,25.806451612903224,6.451612903225806,0.0,0.0,0.0,0.0,3.225806451612903,0.0,0.0,9.67741935483871
2021-07-26,3.7501986334021926,0.0,0.0,0.0,0.0,26.060702367710153,6.022564754489115,0.0,0.0,0.0,0.0,3.257587795963769,0.0,0.4926108374384236,9.772763387891308
2021-07-27,4.274590815191482,0.0,0.0,0.0,0.0,26.314953122517082,5.593516605752423,0.0,0.0,0.0,0.0,3.2893691403146352,0.0,0.9852216748768472,9.868107420943906
2021-07-28,4.798982996980772,0.0,0.0,0.0,0.0,26.56920387732401,5.164468457015731,0.0,0.0,0.0,0.0,3.3211504846655013,0.0,1.477832512315271,9.963451453996504
2021-07-29,5.323375178770062,0.0,0.0,0.0,0.0,26.823454632130936,4.73542030827904,0.0,0.0,0.0,0.0,3.352931829016367,0.0,1.9704433497536944,10.058795487049103
2021-07-30,5.847767360559351,0.0,0.0,0.0,0.0,27.077705386937865,4.306372159542349,0.0,0.0,0.0,0.0,3.384713173367233,0.0,2.463054187192118,10.154139520101701
2021-07-31,6.372159542348641,0.0,0.0,0.0,0.0,27.331956141744794,3.8773240108056566,0.0,0.0,0.0,0.0,3.416494517718099,0.0,2.955665024630542,10.249483553154299
2021-08-01,6.896551724137931,0.0,0.0,0.0,0.0,27.586206896551722,3.4482758620689653,0.0,0.0,0.0,0.0,3.4482758620689653,0.0,3.4482758620689653,10.344827586206897
2021-08-02,6.482758620689655,0.0,0.0,0.0,0.0,28.216748768472904,3.527093596059113,0.0,0.0,0.0,0.0,2.955665024630542,0.0,2.955665024630542,10.58128078817734
2021-08-03,6.068965517241379,0.0,0.0,0.0,0.0,28.84729064039409,3.605911330049261,0.0,0.0,0.0,0.0,2.4630541871921183,0.0,2.4630541871921183,10.817733990147783
2021-08-04,5.655172413793103,0.0,0.0,0.0,0.0,29.47783251231527,3.684729064039409,0.0,0.0,0.0,0.0,1.9704433497536944,0.0,1.9704433497536944,11.054187192118226
2021-08-05,5.241379310344827,0.0,0.0,0.0,0.0,30.108374384236452,3.7635467980295565,0.0,0.0,0.0,0.0,1.477832512315271,0.0,1.477832512315271,11.29064039408867
2021-08-06,4.827586206896552,0.0,0.0,0.0,0.0,30.738916256157637,3.8423645320197046,0.0,0.0,0.0,0.0,0.9852216748768474,0.0,0.9852216748768474,11.527093596059114
2021-08-07,4.413793103448276,0.0,0.0,0.0,0.0,31.36945812807882,3.9211822660098523,0.0,0.0,0.0,0.0,0.4926108374384235,0.0,0.4926108374384235,11.763546798029557
2021-08-08,4.0,0.0,0.0,0.0,0.0,32.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
2021-08-09,4.077922077922078,0.0,0.0,0.0,0.0,31.974025974025974,4.077922077922078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.584415584415584
2021-08-10,4.155844155844156,0.0,0.0,0.0,0.0,31.948051948051948,4.155844155844156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.168831168831169
2021-08-11,4.233766233766234,0.0,0.0,0.0,0.0,31.92207792207792,4.233766233766234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.753246753246753
2021-08-12,4.311688311688312,0.0,0.0,0.0,0.0,31.896103896103895,4.311688311688312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.337662337662339
2021-08-13,4.3896103896103895,0.0,0.0,0.0,0.0,31.87012987012987,4.3896103896103895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.922077922077923
2021-08-14,4.467532467532468,0.0,0.0,0.0,0.0,31.844155844155843,4.467532467532468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.506493506493507
2021-08-15,4.545454545454546,0.0,0.0,0.0,0.0,31.818181818181817,4.545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092
2021-08-16,4.576376004947434,0.0,0.0,0.0,0.0,32.03463203463203,4.576376004947434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.152752009894868
2021-08-17,4.607297464440322,0.0,0.0,0.0,0.0,32.25108225108225,4.607297464440322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.214594928880643
2021-08-18,4.63821892393321,0.0,0.0,0.0,0.0,32.467532467532465,4.63821892393321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.27643784786642
2021-08-19,4.669140383426098,0.0,0.0,0.0,0.0,32.68398268398268,4.669140383426098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.338280766852195
2021-08-20,4.700061842918986,0.0,0.0,0.0,0.0,32.9004329004329,4.700061842918986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.400123685837972
2021-08-21,4.7309833024118735,0.0,0.0,0.0,0.0,33.116883116883116,4.7309833024118735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.461966604823747
2021-08-22,4.761904761904762,0.0,0.0,0.0,0.0,33.33333333333333,4.761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.523809523809524
2021-08-23,4.833512352309345,0.0,0.0,0.0,0.0,33.08270676691729,4.833512352309345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.66702470461869
2021-08-24,4.905119942713927,0.0,0.0,0.0,0.0,32.83208020050125,4.905119942713927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.810239885427855
